Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Betis,27,27.0,43.3,38,418.0,3420,38.0,59.0,40.0,99.0,48.0,11.0,11.0,111.0,5.0,54.8,46.2,36.1,82.3,613.0,1263.0,1.55,1.05,2.61,1.26,2.32,1.44,0.95,2.39,1.22,2.16,La Liga 2019-2020
vs Celta Vigo,30,27.2,48.4,38,418.0,3420,38.0,49.0,31.0,80.0,44.0,5.0,5.0,119.0,5.0,45.3,41.4,33.4,74.7,679.0,1436.0,1.29,0.82,2.11,1.16,1.97,1.19,0.88,2.07,1.09,1.97,La Liga 2019-2020
vs Eibar,26,27.0,53.7,38,418.0,3420,38.0,55.0,38.0,93.0,51.0,4.0,6.0,70.0,2.0,53.0,48.4,40.0,88.5,561.0,1177.0,1.45,1.0,2.45,1.34,2.34,1.39,1.05,2.45,1.27,2.33,La Liga 2019-2020
vs Espanyol,31,27.3,52.6,38,418.0,3420,38.0,56.0,35.0,91.0,50.0,6.0,7.0,75.0,6.0,51.0,45.8,34.9,80.8,688.0,1452.0,1.47,0.92,2.39,1.32,2.24,1.34,0.92,2.26,1.21,2.13,La Liga 2019-2020
vs Getafe,30,27.2,55.0,38,418.0,3420,38.0,35.0,21.0,56.0,30.0,5.0,6.0,122.0,11.0,41.4,36.7,29.5,66.1,376.0,1089.0,0.92,0.55,1.47,0.79,1.34,1.09,0.78,1.87,0.96,1.74,La Liga 2019-2020
vs Granada,27,27.4,56.2,38,418.0,3420,38.0,45.0,37.0,82.0,41.0,4.0,5.0,116.0,7.0,42.6,38.6,33.1,71.7,672.0,1397.0,1.18,0.97,2.16,1.08,2.05,1.12,0.87,1.99,1.02,1.89,La Liga 2019-2020
vs Leganés,29,27.2,56.1,38,418.0,3420,38.0,50.0,34.0,84.0,44.0,6.0,7.0,105.0,5.0,42.8,37.4,29.7,67.1,632.0,1423.0,1.32,0.89,2.21,1.16,2.05,1.13,0.78,1.91,0.98,1.77,La Liga 2019-2020
vs Levante,29,27.2,51.7,38,418.0,3420,38.0,51.0,40.0,91.0,48.0,3.0,7.0,96.0,1.0,62.9,57.4,47.2,104.7,741.0,1499.0,1.34,1.05,2.39,1.26,2.32,1.65,1.24,2.9,1.51,2.75,La Liga 2019-2020
vs Mallorca,32,27.2,55.0,38,418.0,3420,38.0,64.0,39.0,103.0,49.0,15.0,16.0,118.0,4.0,63.5,51.2,43.2,94.4,774.0,1681.0,1.68,1.03,2.71,1.29,2.32,1.67,1.14,2.81,1.35,2.48,La Liga 2019-2020
vs Osasuna,31,27.0,52.6,38,418.0,3420,38.0,54.0,39.0,93.0,49.0,5.0,5.0,83.0,4.0,49.4,45.5,35.9,81.4,581.0,1311.0,1.42,1.03,2.45,1.29,2.32,1.3,0.94,2.24,1.2,2.14,La Liga 2019-2020
vs Real Madrid,26,27.0,41.2,38,418.0,3420,38.0,25.0,21.0,46.0,23.0,2.0,2.0,87.0,1.0,33.3,31.7,23.9,55.6,604.0,1211.0,0.66,0.55,1.21,0.61,1.16,0.88,0.63,1.51,0.83,1.46,La Liga 2019-2020
vs Real Sociedad,27,27.3,43.8,38,418.0,3420,38.0,47.0,33.0,80.0,40.0,7.0,9.0,101.0,7.0,43.0,36.0,27.7,63.7,546.0,1133.0,1.24,0.87,2.11,1.05,1.92,1.13,0.73,1.86,0.95,1.68,La Liga 2019-2020
vs Sevilla,26,27.2,42.1,38,418.0,3420,38.0,33.0,21.0,54.0,30.0,3.0,4.0,100.0,5.0,36.1,33.0,24.4,57.4,552.0,1138.0,0.87,0.55,1.42,0.79,1.34,0.95,0.64,1.59,0.87,1.51,La Liga 2019-2020
vs Valencia,28,27.1,51.0,38,418.0,3420,38.0,52.0,31.0,83.0,45.0,7.0,9.0,90.0,4.0,56.0,49.1,35.3,84.4,863.0,1698.0,1.37,0.82,2.18,1.18,2.0,1.47,0.93,2.4,1.29,2.22,La Liga 2019-2020
vs Valladolid,30,27.3,55.3,38,418.0,3420,38.0,43.0,26.0,69.0,36.0,7.0,8.0,95.0,4.0,54.5,48.4,38.7,87.1,797.0,1764.0,1.13,0.68,1.82,0.95,1.63,1.43,1.02,2.45,1.27,2.29,La Liga 2019-2020
vs Villarreal,25,27.2,47.1,38,418.0,3420,38.0,47.0,35.0,82.0,39.0,8.0,9.0,84.0,5.0,46.3,39.3,31.9,71.1,676.0,1465.0,1.24,0.92,2.16,1.03,1.95,1.22,0.84,2.06,1.03,1.87,La Liga 2019-2020
vs Atalanta,30,27.0,42.8,38,418.0,3420,38.0,45.0,30.0,75.0,39.0,6.0,6.0,106.0,7.0,41.3,36.6,27.9,64.5,597.0,1072.0,1.18,0.79,1.97,1.03,1.82,1.09,0.73,1.82,0.96,1.7,Serie A 2019-2020
vs Bologna,31,26.9,47.4,38,418.0,3420,38.0,64.0,40.0,104.0,58.0,6.0,8.0,104.0,7.0,54.8,48.5,38.3,86.8,767.0,1433.0,1.68,1.05,2.74,1.53,2.58,1.44,1.01,2.45,1.28,2.29,Serie A 2019-2020
vs Brescia,32,27.1,59.4,38,418.0,3420,38.0,76.0,55.0,131.0,67.0,9.0,11.0,106.0,2.0,74.5,66.2,52.4,118.6,900.0,1865.0,2.0,1.45,3.45,1.76,3.21,1.96,1.38,3.34,1.74,3.12,Serie A 2019-2020
vs Cagliari,33,27.0,54.3,38,418.0,3420,38.0,53.0,35.0,88.0,46.0,7.0,9.0,76.0,6.0,59.0,52.7,40.5,93.2,850.0,1740.0,1.39,0.92,2.32,1.21,2.13,1.55,1.07,2.62,1.39,2.45,Serie A 2019-2020
vs Fiorentina,33,27.1,52.6,38,418.0,3420,38.0,48.0,31.0,79.0,39.0,9.0,11.0,95.0,3.0,48.9,40.4,32.2,72.6,826.0,1497.0,1.26,0.82,2.08,1.03,1.84,1.29,0.85,2.13,1.06,1.91,Serie A 2019-2020
vs Genoa,34,26.9,50.5,38,418.0,3420,38.0,71.0,52.0,123.0,64.0,7.0,9.0,96.0,8.0,60.0,52.9,40.8,93.8,859.0,1623.0,1.87,1.37,3.24,1.68,3.05,1.58,1.07,2.65,1.39,2.47,Serie A 2019-2020
vs Hellas Verona,30,27.0,50.2,38,418.0,3420,38.0,50.0,31.0,81.0,41.0,9.0,9.0,105.0,8.0,53.7,46.7,36.8,83.4,781.0,1450.0,1.32,0.82,2.13,1.08,1.89,1.41,0.97,2.38,1.23,2.2,Serie A 2019-2020
vs Inter,29,26.8,45.8,38,418.0,3420,38.0,35.0,24.0,59.0,32.0,3.0,4.0,90.0,4.0,40.7,37.6,28.2,65.7,779.0,1323.0,0.92,0.63,1.55,0.84,1.47,1.07,0.74,1.81,0.99,1.73,Serie A 2019-2020
vs Juventus,30,26.7,41.9,38,418.0,3420,38.0,43.0,26.0,69.0,34.0,9.0,12.0,113.0,8.0,44.9,35.9,27.2,63.1,559.0,1197.0,1.13,0.68,1.82,0.89,1.58,1.18,0.72,1.9,0.94,1.66,Serie A 2019-2020
vs Lazio,27,26.9,49.6,38,418.0,3420,38.0,41.0,28.0,69.0,34.0,7.0,9.0,96.0,7.0,51.1,44.1,34.7,78.9,811.0,1463.0,1.08,0.74,1.82,0.89,1.63,1.35,0.91,2.26,1.16,2.08,Serie A 2019-2020
vs Lecce,30,26.9,55.2,38,418.0,3420,38.0,82.0,51.0,133.0,71.0,11.0,13.0,86.0,5.0,85.6,75.7,61.9,137.6,976.0,1860.0,2.16,1.34,3.5,1.87,3.21,2.25,1.63,3.88,1.99,3.62,Serie A 2019-2020
vs Milan,32,27.1,45.1,38,418.0,3420,38.0,45.0,27.0,72.0,40.0,5.0,10.0,94.0,8.0,45.1,37.5,26.4,63.9,677.0,1352.0,1.18,0.71,1.89,1.05,1.76,1.19,0.7,1.88,0.99,1.68,Serie A 2019-2020
vs Napoli,25,27.0,40.8,38,418.0,3420,38.0,49.0,33.0,82.0,42.0,7.0,8.0,105.0,2.0,44.7,38.5,31.0,69.5,597.0,1156.0,1.29,0.87,2.16,1.11,1.97,1.18,0.82,1.99,1.01,1.83,Serie A 2019-2020
vs Parma,25,26.9,56.2,38,418.0,3420,38.0,57.0,38.0,95.0,50.0,7.0,11.0,89.0,3.0,64.3,56.3,45.6,101.9,1018.0,1929.0,1.5,1.0,2.5,1.32,2.32,1.69,1.2,2.89,1.48,2.68,Serie A 2019-2020
vs Roma,31,27.0,47.3,38,418.0,3420,38.0,51.0,33.0,84.0,42.0,9.0,10.0,92.0,1.0,49.4,41.5,32.5,74.0,627.0,1186.0,1.34,0.87,2.21,1.11,1.97,1.3,0.86,2.16,1.09,1.95,Serie A 2019-2020
vs Sampdoria,31,26.9,57.3,38,418.0,3420,38.0,61.0,41.0,102.0,53.0,8.0,9.0,86.0,8.0,54.9,47.9,34.3,82.2,815.0,1723.0,1.61,1.08,2.68,1.39,2.47,1.45,0.9,2.35,1.26,2.16,Serie A 2019-2020
vs Sassuolo,31,27.0,42.5,38,418.0,3420,38.0,59.0,40.0,99.0,51.0,8.0,9.0,118.0,4.0,62.0,54.9,42.9,97.9,654.0,1363.0,1.55,1.05,2.61,1.34,2.39,1.63,1.13,2.76,1.45,2.58,Serie A 2019-2020
vs SPAL,34,27.0,53.1,38,418.0,3420,38.0,74.0,48.0,122.0,67.0,7.0,8.0,75.0,1.0,68.6,62.4,48.5,111.0,885.0,1709.0,1.95,1.26,3.21,1.76,3.03,1.81,1.28,3.08,1.64,2.92,Serie A 2019-2020
vs Torino,27,27.0,52.6,38,418.0,3420,38.0,65.0,41.0,106.0,55.0,10.0,11.0,110.0,2.0,60.8,52.2,40.6,92.7,850.0,1534.0,1.71,1.08,2.79,1.45,2.53,1.6,1.07,2.67,1.37,2.44,Serie A 2019-2020
vs Udinese,25,27.2,55.3,38,418.0,3420,38.0,51.0,29.0,80.0,43.0,8.0,10.0,80.0,5.0,53.4,45.4,34.9,80.3,854.0,1792.0,1.34,0.76,2.11,1.13,1.89,1.41,0.92,2.32,1.19,2.11,Serie A 2019-2020
vs Amiens,27,26.0,54.4,28,308.0,2520,28.0,49.0,36.0,85.0,48.0,1.0,1.0,43.0,1.0,39.3,38.6,28.2,66.8,587.0,1238.0,1.75,1.29,3.04,1.71,3.0,1.4,1.01,2.41,1.38,2.39,Ligue 1 2019-2020
vs Angers,26,26.2,54.8,28,308.0,2520,28.0,33.0,25.0,58.0,30.0,3.0,3.0,47.0,0.0,28.4,26.1,21.6,47.7,569.0,1308.0,1.18,0.89,2.07,1.07,1.96,1.01,0.77,1.79,0.93,1.7,Ligue 1 2019-2020
vs Bordeaux,26,25.9,46.4,28,308.0,2520,28.0,33.0,28.0,61.0,31.0,2.0,3.0,65.0,8.0,36.9,34.6,28.5,63.0,580.0,1053.0,1.18,1.0,2.18,1.11,2.11,1.32,1.02,2.34,1.23,2.25,Ligue 1 2019-2020
vs Brest,24,26.2,50.2,28,308.0,2520,28.0,37.0,24.0,61.0,33.0,4.0,6.0,40.0,1.0,45.5,40.8,30.5,71.3,621.0,1144.0,1.32,0.86,2.18,1.18,2.04,1.62,1.09,2.71,1.46,2.55,Ligue 1 2019-2020
vs Dijon,28,26.1,53.5,28,308.0,2520,28.0,35.0,25.0,60.0,34.0,1.0,1.0,44.0,3.0,38.4,37.6,28.1,65.8,546.0,1296.0,1.25,0.89,2.14,1.21,2.11,1.37,1.0,2.38,1.34,2.35,Ligue 1 2019-2020
vs Lille,25,26.4,47.1,28,308.0,2520,28.0,24.0,17.0,41.0,20.0,4.0,6.0,57.0,2.0,31.4,26.7,22.5,49.2,457.0,936.0,0.86,0.61,1.46,0.71,1.32,1.12,0.8,1.93,0.95,1.76,Ligue 1 2019-2020
vs Lyon,27,26.1,43.8,28,308.0,2520,28.0,24.0,15.0,39.0,22.0,2.0,3.0,55.0,7.0,27.1,24.7,18.5,43.2,495.0,976.0,0.86,0.54,1.39,0.79,1.32,0.97,0.66,1.63,0.88,1.54,Ligue 1 2019-2020
vs Marseille,23,26.1,46.5,28,308.0,2520,28.0,27.0,20.0,47.0,23.0,4.0,5.0,52.0,2.0,31.8,28.0,21.8,49.8,416.0,880.0,0.96,0.71,1.68,0.82,1.54,1.14,0.78,1.92,1.0,1.78,Ligue 1 2019-2020
vs Metz,24,26.5,54.7,28,308.0,2520,28.0,35.0,25.0,60.0,31.0,4.0,4.0,37.0,3.0,38.1,35.0,27.6,62.6,550.0,1307.0,1.25,0.89,2.14,1.11,2.0,1.36,0.98,2.35,1.25,2.23,Ligue 1 2019-2020
vs Monaco,28,26.2,49.1,28,308.0,2520,28.0,43.0,29.0,72.0,37.0,6.0,6.0,46.0,0.0,42.7,38.1,29.5,67.6,586.0,1143.0,1.54,1.04,2.57,1.32,2.36,1.53,1.05,2.58,1.36,2.41,Ligue 1 2019-2020
vs Montpellier,27,26.1,52.4,28,308.0,2520,28.0,32.0,22.0,54.0,29.0,3.0,5.0,69.0,7.0,34.7,31.0,25.5,56.5,650.0,1069.0,1.14,0.79,1.93,1.04,1.82,1.24,0.91,2.15,1.11,2.02,Ligue 1 2019-2020
vs Nantes,29,26.3,52.0,28,308.0,2520,28.0,30.0,23.0,53.0,27.0,3.0,6.0,57.0,3.0,31.5,26.8,21.5,48.3,398.0,1053.0,1.07,0.82,1.89,0.96,1.79,1.12,0.77,1.89,0.96,1.73,Ligue 1 2019-2020
vs Nice,31,26.1,45.4,28,308.0,2520,28.0,36.0,21.0,57.0,31.0,5.0,7.0,62.0,9.0,43.9,38.7,29.7,68.4,574.0,1070.0,1.29,0.75,2.04,1.11,1.86,1.57,1.06,2.63,1.38,2.44,Ligue 1 2019-2020
vs Nîmes,28,26.0,55.0,28,308.0,2520,28.0,43.0,28.0,71.0,39.0,4.0,4.0,80.0,9.0,40.9,37.8,29.6,67.4,547.0,1098.0,1.54,1.0,2.54,1.39,2.39,1.46,1.06,2.52,1.35,2.41,Ligue 1 2019-2020
vs Paris S-G,31,26.1,34.8,27,297.0,2430,27.0,23.0,16.0,39.0,23.0,0.0,0.0,46.0,6.0,23.1,23.1,17.8,40.9,435.0,637.0,0.85,0.59,1.44,0.85,1.44,0.85,0.66,1.51,0.85,1.51,Ligue 1 2019-2020
vs Reims,26,26.0,51.1,28,308.0,2520,28.0,21.0,13.0,34.0,19.0,2.0,6.0,35.0,2.0,28.5,23.7,17.9,41.6,462.0,1004.0,0.75,0.46,1.21,0.68,1.14,1.02,0.64,1.66,0.85,1.49,Ligue 1 2019-2020
vs Rennes,26,26.2,50.4,28,308.0,2520,28.0,23.0,14.0,37.0,20.0,3.0,5.0,73.0,2.0,30.2,26.3,20.4,46.8,499.0,993.0,0.82,0.5,1.32,0.71,1.21,1.08,0.73,1.81,0.94,1.67,Ligue 1 2019-2020
vs Saint-Étienne,31,26.0,51.8,28,308.0,2520,28.0,45.0,30.0,75.0,40.0,5.0,6.0,50.0,2.0,38.8,34.3,25.1,59.5,456.0,1008.0,1.61,1.07,2.68,1.43,2.5,1.39,0.9,2.28,1.23,2.12,Ligue 1 2019-2020
vs Strasbourg,25,26.0,50.4,27,297.0,2430,27.0,32.0,20.0,52.0,26.0,6.0,7.0,56.0,3.0,32.2,26.7,17.1,43.8,543.0,1017.0,1.19,0.74,1.93,0.96,1.7,1.19,0.63,1.83,0.99,1.62,Ligue 1 2019-2020
vs Toulouse,30,26.1,55.8,28,308.0,2520,28.0,57.0,47.0,104.0,54.0,3.0,5.0,33.0,0.0,45.6,41.7,30.5,72.2,615.0,1378.0,2.04,1.68,3.71,1.93,3.61,1.63,1.09,2.72,1.49,2.58,Ligue 1 2019-2020
vs ADO Den Haag,34,24.7,56.7,26,,2340,26.0,51.0,,,46.0,5.0,5.0,,,54.4,50.5,39.2,89.6,632.0,1140.0,1.96,,,1.77,,2.09,1.51,3.6,1.94,3.45,Eredivisie 2019-2020
vs Ajax,29,24.8,36.3,25,,2250,25.0,23.0,,,21.0,2.0,2.0,,,28.4,26.9,20.1,46.9,376.0,595.0,0.92,,,0.84,,1.14,0.8,1.94,1.07,1.88,Eredivisie 2019-2020
vs AZ Alkmaar,24,24.8,39.8,25,,2250,25.0,16.0,,,14.0,2.0,3.0,,,24.6,22.2,17.0,39.2,404.0,759.0,0.64,,,0.56,,0.98,0.68,1.66,0.89,1.57,Eredivisie 2019-2020
vs Emmen,29,24.6,48.2,26,,2340,26.0,43.0,,,40.0,3.0,3.0,,,53.4,51.0,38.2,89.2,492.0,1156.0,1.65,,,1.54,,2.05,1.47,3.52,1.96,3.43,Eredivisie 2019-2020
vs Feyenoord,30,24.6,45.7,25,,2250,25.0,33.0,,,30.0,3.0,5.0,,,31.0,27.1,20.8,47.8,447.0,947.0,1.32,,,1.2,,1.24,0.83,2.07,1.08,1.91,Eredivisie 2019-2020
vs Fortuna Sittard,27,25.2,54.9,26,,2340,26.0,51.0,,,42.0,9.0,9.0,,,51.3,44.6,35.0,79.7,579.0,1153.0,1.96,,,1.62,,1.97,1.35,3.32,1.72,3.06,Eredivisie 2019-2020
vs Groningen,25,24.9,51.4,26,,2340,26.0,26.0,,,23.0,3.0,6.0,,,32.7,27.9,23.1,51.1,406.0,1033.0,1.0,,,0.88,,1.26,0.89,2.15,1.07,1.96,Eredivisie 2019-2020
vs Heerenveen,24,24.9,49.0,26,,2340,26.0,39.0,,,33.0,6.0,7.0,,,38.9,33.3,27.4,60.8,478.0,991.0,1.5,,,1.27,,1.49,1.05,2.55,1.28,2.34,Eredivisie 2019-2020
vs Heracles Almelo,23,24.9,51.8,26,,2340,26.0,34.0,,,31.0,3.0,5.0,,,39.2,35.5,27.5,63.0,406.0,1133.0,1.31,,,1.19,,1.51,1.06,2.57,1.36,2.42,Eredivisie 2019-2020
vs PSV Eindhoven,29,24.9,45.3,26,,2340,26.0,28.0,,,25.0,3.0,3.0,,,31.6,29.3,23.4,52.7,468.0,987.0,1.08,,,0.96,,1.22,0.9,2.12,1.13,2.03,Eredivisie 2019-2020
vs RKC Waalwijk,28,24.9,50.2,26,,2340,26.0,59.0,,,55.0,4.0,5.0,,,51.3,47.4,37.8,85.2,546.0,1134.0,2.27,,,2.12,,1.97,1.45,3.43,1.82,3.28,Eredivisie 2019-2020
vs Sparta R'dam,23,24.7,59.3,26,,2340,26.0,45.0,,,38.0,7.0,7.0,,,44.5,39.2,30.6,69.8,589.0,1290.0,1.73,,,1.46,,1.71,1.18,2.89,1.51,2.68,Eredivisie 2019-2020
vs Twente,25,24.9,49.8,26,,2340,26.0,44.0,,,44.0,0.0,2.0,,,42.4,40.8,27.5,68.2,504.0,1094.0,1.69,,,1.69,,1.63,1.06,2.69,1.57,2.62,Eredivisie 2019-2020
vs Utrecht,30,24.7,47.5,25,,2250,25.0,34.0,,,31.0,3.0,5.0,,,31.9,28.3,22.5,50.8,429.0,933.0,1.36,,,1.24,,1.28,0.9,2.18,1.13,2.03,Eredivisie 2019-2020
vs Vitesse,25,24.7,50.9,26,,2340,26.0,35.0,,,27.0,8.0,9.0,,,42.1,35.0,27.3,62.3,485.0,1112.0,1.35,,,1.04,,1.62,1.05,2.67,1.35,2.4,Eredivisie 2019-2020
vs VVV-Venlo,25,24.6,59.8,26,,2340,26.0,51.0,,,47.0,4.0,5.0,,,48.5,44.5,35.3,79.9,673.0,1228.0,1.96,,,1.81,,1.87,1.36,3.23,1.71,3.07,Eredivisie 2019-2020
vs Willem II,24,24.8,52.3,26,,2340,26.0,33.0,,,29.0,4.0,4.0,,,34.4,31.2,24.1,55.3,533.0,1083.0,1.27,,,1.12,,1.32,0.93,2.25,1.2,2.13,Eredivisie 2019-2020
vs Zwolle,30,24.6,49.9,26,,2340,26.0,54.0,,,49.0,5.0,6.0,,,47.5,42.8,31.0,73.8,589.0,1129.0,2.08,,,1.88,,1.83,1.19,3.02,1.65,2.84,Eredivisie 2019-2020
vs Aves,44,26.3,58.7,34,374.0,3060,34.0,64.0,46.0,110.0,53.0,11.0,13.0,83.0,4.0,59.0,48.8,40.3,89.1,556.0,1448.0,1.88,1.35,3.24,1.56,2.91,1.74,1.18,2.92,1.44,2.62,Primeira Liga 2019-2020
vs B-SAD,41,,,34,,3060,34.0,,,,,,,,,50.3,46.4,37.8,84.2,545.0,1348.0,,,,,,1.48,1.11,2.59,1.36,2.48,Primeira Liga 2019-2020
vs Benfica,28,26.0,42.2,34,374.0,3060,34.0,24.0,17.0,41.0,21.0,3.0,3.0,100.0,6.0,32.1,29.8,22.8,52.6,465.0,921.0,0.71,0.5,1.21,0.62,1.12,0.95,0.67,1.62,0.88,1.55,Primeira Liga 2019-2020
vs Boavista,27,25.7,57.2,34,374.0,3060,34.0,37.0,23.0,60.0,31.0,6.0,6.0,84.0,5.0,41.6,36.9,28.2,65.1,509.0,1329.0,1.09,0.68,1.76,0.91,1.59,1.22,0.83,2.05,1.08,1.91,Primeira Liga 2019-2020
vs Braga,36,25.9,41.5,34,374.0,3060,34.0,38.0,23.0,61.0,32.0,6.0,8.0,112.0,6.0,41.5,35.5,26.8,62.3,410.0,938.0,1.12,0.68,1.79,0.94,1.62,1.22,0.79,2.01,1.04,1.83,Primeira Liga 2019-2020
vs Famalicão,26,26.4,47.4,34,374.0,3060,34.0,51.0,31.0,82.0,46.0,5.0,6.0,95.0,7.0,52.8,48.1,38.7,86.8,538.0,1234.0,1.5,0.91,2.41,1.35,2.26,1.55,1.14,2.69,1.41,2.55,Primeira Liga 2019-2020
vs Gil Vicente FC,27,25.9,52.5,34,374.0,3060,34.0,41.0,29.0,70.0,38.0,3.0,5.0,66.0,3.0,41.3,37.4,27.1,64.5,529.0,1199.0,1.21,0.85,2.06,1.12,1.97,1.21,0.8,2.01,1.1,1.9,Primeira Liga 2019-2020
vs Marítimo,30,26.1,53.0,34,374.0,3060,34.0,41.0,22.0,63.0,36.0,5.0,7.0,87.0,7.0,48.3,42.7,33.2,75.9,660.0,1442.0,1.21,0.65,1.85,1.06,1.71,1.42,0.98,2.4,1.26,2.23,Primeira Liga 2019-2020
vs Moreirense,27,26.0,55.9,34,374.0,3060,34.0,42.0,22.0,64.0,33.0,9.0,14.0,100.0,9.0,57.3,46.2,35.5,81.7,568.0,1509.0,1.24,0.65,1.88,0.97,1.62,1.68,1.04,2.73,1.36,2.4,Primeira Liga 2019-2020
vs Paços de Ferreira,31,26.2,53.1,34,374.0,3060,34.0,51.0,27.0,78.0,43.0,8.0,9.0,86.0,4.0,46.4,39.4,28.0,67.4,438.0,1110.0,1.5,0.79,2.29,1.26,2.06,1.36,0.82,2.19,1.16,1.98,Primeira Liga 2019-2020
vs Portimonense,32,26.0,48.9,34,374.0,3060,34.0,43.0,29.0,72.0,39.0,4.0,5.0,69.0,4.0,46.1,42.5,32.9,75.4,492.0,1154.0,1.26,0.85,2.12,1.15,2.0,1.36,0.97,2.32,1.25,2.22,Primeira Liga 2019-2020
vs Porto,28,25.9,40.5,34,374.0,3060,34.0,22.0,14.0,36.0,21.0,1.0,2.0,105.0,3.0,25.1,23.5,16.9,40.4,408.0,864.0,0.65,0.41,1.06,0.62,1.03,0.74,0.5,1.24,0.69,1.19,Primeira Liga 2019-2020
vs Rio Ave,27,26.1,44.3,34,374.0,3060,34.0,36.0,24.0,60.0,33.0,3.0,3.0,82.0,8.0,35.0,32.7,25.2,57.9,469.0,1108.0,1.06,0.71,1.76,0.97,1.68,1.03,0.74,1.77,0.96,1.7,Primeira Liga 2019-2020
vs Santa Clara,29,25.8,53.9,34,374.0,3060,34.0,40.0,28.0,68.0,34.0,6.0,9.0,88.0,4.0,47.8,40.7,32.9,73.7,496.0,1260.0,1.18,0.82,2.0,1.0,1.82,1.41,0.97,2.37,1.2,2.17,Primeira Liga 2019-2020
vs Sporting CP,36,26.2,41.6,34,374.0,3060,34.0,33.0,20.0,53.0,27.0,6.0,6.0,101.0,5.0,36.1,31.4,23.2,54.5,476.0,996.0,0.97,0.59,1.56,0.79,1.38,1.06,0.68,1.74,0.92,1.6,Primeira Liga 2019-2020
vs Tondela,30,26.1,54.2,34,374.0,3060,34.0,43.0,28.0,71.0,40.0,3.0,3.0,82.0,4.0,44.4,42.0,33.0,75.0,524.0,1523.0,1.26,0.82,2.09,1.18,2.0,1.3,0.97,2.28,1.24,2.21,Primeira Liga 2019-2020
vs Vitória,32,26.2,49.3,34,374.0,3060,34.0,36.0,25.0,61.0,35.0,1.0,4.0,86.0,7.0,36.8,33.7,25.1,58.8,469.0,934.0,1.06,0.74,1.79,1.03,1.76,1.08,0.74,1.82,0.99,1.73,Primeira Liga 2019-2020
vs Vitória Setúbal,31,25.8,55.0,34,374.0,3060,34.0,42.0,30.0,72.0,37.0,5.0,9.0,74.0,3.0,52.5,45.5,36.9,82.3,656.0,1471.0,1.24,0.88,2.12,1.09,1.97,1.54,1.08,2.63,1.34,2.42,Primeira Liga 2019-2020
vs Barnsley,32,26.3,47.7,46,506.0,4140,46.0,67.0,42.0,109.0,63.0,4.0,4.0,66.0,2.0,68.5,65.4,52.3,117.7,546.0,1280.0,1.46,0.91,2.37,1.37,2.28,1.49,1.14,2.63,1.42,2.56,Championship 2019-2020
vs Birmingham City,32,26.0,54.2,46,506.0,4140,46.0,74.0,53.0,127.0,67.0,7.0,10.0,67.0,1.0,65.4,57.5,45.3,102.8,697.0,1591.0,1.61,1.15,2.76,1.46,2.61,1.42,0.98,2.41,1.25,2.23,Championship 2019-2020
vs Blackburn,27,25.9,47.6,46,506.0,4140,46.0,60.0,38.0,98.0,51.0,9.0,10.0,76.0,2.0,59.7,51.9,41.1,93.0,743.0,1472.0,1.3,0.83,2.13,1.11,1.93,1.3,0.89,2.19,1.13,2.02,Championship 2019-2020
vs Brentford,29,26.0,42.2,46,506.0,4140,46.0,37.0,25.0,62.0,34.0,3.0,3.0,78.0,3.0,37.2,34.8,25.5,60.3,635.0,1347.0,0.8,0.54,1.35,0.74,1.28,0.81,0.55,1.36,0.76,1.31,Championship 2019-2020
vs Bristol City,32,25.9,52.3,46,506.0,4140,46.0,62.0,37.0,99.0,58.0,4.0,4.0,70.0,4.0,70.6,67.5,52.0,119.5,841.0,1739.0,1.35,0.8,2.15,1.26,2.07,1.54,1.13,2.67,1.47,2.6,Championship 2019-2020
vs Cardiff City,29,26.0,56.8,46,506.0,4140,46.0,56.0,36.0,92.0,52.0,4.0,6.0,72.0,3.0,59.3,54.7,42.6,97.3,890.0,1722.0,1.22,0.78,2.0,1.13,1.91,1.29,0.93,2.22,1.19,2.12,Championship 2019-2020
vs Charlton Ath,33,25.9,54.4,46,506.0,4140,46.0,63.0,40.0,103.0,59.0,4.0,6.0,88.0,3.0,76.1,71.3,53.8,125.1,1003.0,1806.0,1.37,0.87,2.24,1.28,2.15,1.65,1.17,2.82,1.55,2.72,Championship 2019-2020
vs Derby County,31,25.9,47.4,46,506.0,4140,46.0,61.0,38.0,99.0,53.0,8.0,10.0,62.0,4.0,67.8,60.0,46.0,106.0,822.0,1856.0,1.33,0.83,2.15,1.15,1.98,1.47,1.0,2.48,1.3,2.3,Championship 2019-2020
vs Fulham,28,25.9,39.2,46,506.0,4140,46.0,48.0,31.0,79.0,44.0,4.0,5.0,82.0,2.0,58.9,55.0,42.5,97.4,568.0,1312.0,1.04,0.67,1.72,0.96,1.63,1.28,0.92,2.2,1.19,2.12,Championship 2019-2020
vs Huddersfield,39,25.9,48.9,46,506.0,4140,46.0,69.0,48.0,117.0,67.0,2.0,2.0,82.0,1.0,60.3,58.7,43.4,102.1,720.0,1564.0,1.5,1.04,2.54,1.46,2.5,1.31,0.94,2.25,1.28,2.22,Championship 2019-2020
